[21:44:54] Traffic Deployer USB fix kit
[21:44:54] Log: C:\MindLink AI\projects\traffic-deployer\packaging\usb_fix_log_20260622_214453.txt
[21:44:54] Computer: MSI
[21:44:54] === COM ports (plug GPS or PicoCount USB now) ===
[21:44:54]   (none) - if a device is plugged in, Windows did not create a COM port.
[21:44:54] === USB problems (Unknown / error) ===
[21:44:55]   USBDevice | Apple Mobile Device USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USB | USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USB | Generic USB Hub | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USB | Generic USB Hub | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   Mouse | HID-compliant mouse | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   Mouse | HID-compliant mouse | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   AudioEndpoint | Digital Audio Interface (3- USB Digital Audio) | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USB | SAMSUNG Mobile USB Composite Device  | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   Mouse | HID-compliant mouse | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USB | USB Serial Converter | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   AudioEndpoint | Digital Audio Interface (2- USB Digital Audio) | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   DiskDrive | General UDisk USB Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant consumer control device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant system controller | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USBDevice | Apple Mobile Device USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant consumer control device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USBDevice | Apple Mobile Device USB Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USBDevice | Apple Mobile Device USB Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant consumer control device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   USBDevice | Apple Mobile Device USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:55]   HIDClass | HID-compliant consumer control device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   Ports | USB Serial Port (COM10) | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   USBDevice | Apple Mobile Device USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   MEDIA | USB Digital Audio | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   HIDClass | HID-compliant device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   DiskDrive | WD My Passport 25E1 USB Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   HIDClass | HID-compliant consumer control device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   Camera | USB Video | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   HIDClass | HID-compliant vendor-defined device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   USB | USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   USB | USB Mass Storage Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   HIDClass | HID-compliant system controller | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   Camera | USB Video | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   USBDevice | Apple Recovery (iBoot) USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   Mouse | HID-compliant mouse | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   USB | USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   USB | USB Composite Device | status=Unknown problem=CM_PROB_PHANTOM
[21:44:56]   HIDClass | USB Input Device | status=Unknown problem=CM_PROB_PHANTOM
